Vout	I1	R	I2	V1	V2	Itot	Log(Vout)	Log(Itot)	Pre-Set		Set		Return	
V	A	ohm	A	V	V	A	V	A	1.004721701	-5.072549439	3.088819614	-4.227175004	0.996596798	-2.239642653
1.76	0.0095566	184.1659167	-0.0095554	1.76	0	0.009556	0.245512668	-2.019723859						
1.7695	0.0096096	184.1387779	-0.0096106	1.7695	0	0.0096101	0.247850567	-2.017272093						
1.77925	0.0096616	184.1568684	-0.009658	1.77925	0	0.0096598	0.250236974	-2.015031865						
1.78875	0.009713	184.1604036	-0.0097154	1.78875	0	0.0097142	0.252549647	-2.012592959						
1.7985	0.009773	184.0274225	-0.0097754	1.7985	0	0.0097742	0.254910442	-2.009918779						
1.808	0.0098384	183.7697187	-0.009845	1.808	0	0.0098417	0.257198426	-2.006929877						
1.8175	0.009905	183.4931853	-0.0099112	1.8175	0	0.0099081	0.25947442	-2.004009619						
1.82725	0.0099738	183.2049971	-0.0099796	1.82725	0	0.0099767	0.261797971	-2.001013087						
1.83675	0.0100406	182.9322949	-0.0100422	1.83675	0	0.0100414	0.264050049	-1.998205732						
1.8465	0.0101044	182.7421717	-0.0101062	1.8465	0	0.0101053	0.266349312	-1.995450789						
1.856	0.0101606	182.666378	-0.0101648	1.856	0	0.0101627	0.268577972	-1.992990894						
1.8655	0.0102204	182.5271027	-0.0102218	1.8655	0	0.0102211	0.270795253	-1.990502363						
1.87525	0.010279	182.4350618	-0.0102782	1.87525	0	0.0102786	0.273059174	-1.988066035						
1.88475	0.0103346	182.3728059	-0.0103376	1.88475	0	0.0103361	0.275253752	-1.985643298						
1.8945	0.0103984	182.191491	-0.0104054	1.8945	0	0.0104019	0.27749461	-1.982887326						
1.904	0.0104604	182.019808	-0.0104644	1.904	0	0.0104624	0.279666944	-1.98036868						
1.9135	0.0105202	181.888177	-0.0105208	1.9135	0	0.0105205	0.281828467	-1.977963619						
1.92325	0.0105758	181.853855	-0.0105758	1.92325	0	0.0105758	0.284035741	-1.975686771						
1.93275	0.0106348	181.7382555	-0.0106364	1.93275	0	0.0106356	0.286175682	-1.973238005						
1.9425	0.0106914	181.6880858	-0.0106918	1.9425	0	0.0106916	0.288361027	-1.970957298						
1.952	0.0107474	181.6253233	-0.01075	1.952	0	0.0107487	0.290479813	-1.968644058						
1.9615	0.010808	181.4859363	-0.0108108	1.9615	0	0.0108094	0.292588312	-1.966198412						
1.97125	0.010873	181.2977099	-0.0108738	1.97125	0	0.0108734	0.294741706	-1.963634635						
1.98075	0.010932	181.1882547	-0.0109346	1.98075	0	0.0109333	0.296829665	-1.961248735						
1.9905	0.0109984	180.9808699	-0.011005	1.9905	0	0.0110017	0.298962182	-1.958540202						
2	0.0110684	180.69459	-0.01107	2	0	0.0110692	0.301029996	-1.955883766						
2	0.0110934	180.2873781	-0.0110946	2	0	0.011094	0.301029996	-1.954911838						
1.9905	0.0110514	180.1129269	-0.0110528	1.9905	0	0.0110521	0.298962182	-1.956555194						
1.98075	0.0110074	179.9471265	-0.0110072	1.98075	0	0.0110073	0.296829665	-1.958319197						
1.97125	0.0109612	179.8388863	-0.0109622	1.97125	0	0.0109617	0.294741706	-1.960122088						
1.9615	0.0109082	179.8188519	-0.0109114	1.9615	0	0.0109098	0.292588312	-1.962183211						
1.952	0.0108644	179.6693789	-0.0108644	1.952	0	0.0108644	0.290479813	-1.963994253						
1.9425	0.0108172	179.5751211	-0.0108206	1.9425	0	0.0108189	0.288361027	-1.965816893						
1.93275	0.0107734	179.4001894	-0.0107728	1.93275	0	0.0107731	0.286175682	-1.967659309						
1.92325	0.0107266	179.297261	-0.010726	1.92325	0	0.0107263	0.284035741	-1.969550061						
1.9135	0.0106742	179.2640198	-0.0106734	1.9135	0	0.0106738	0.281828467	-1.971680939						
1.904	0.0106234	179.2269895	-0.010624	1.904	0	0.0106237	0.279666944	-1.973724202						
1.8945	0.010578	179.0981282	-0.0105786	1.8945	0	0.0105783	0.27749461	-1.975584121						
1.88475	0.0105276	179.0294084	-0.0105264	1.88475	0	0.010527	0.275253752	-1.977695377						
1.87525	0.0104772	178.9838888	-0.0104768	1.87525	0	0.010477	0.273059174	-1.979763056						
